CODIGO,DESCRICAO,UNIDADE,CODFOR1,FORNECE1,TEL1,REPRE1,CUSTO1,DATA1,COND1,OBS1,CODFOR2,FORNECE2,TEL2,REPRE2,CUSTO2,DATA2,COND2,OBS2,CODFOR3,FORNECE3,TEL3,REPRE3,CUSTO3,DATA3,COND3,OBS3
365,BATERIA ERBS 60 HP 15M,,,,,,,,,,,,,,,,,,,,,,,,,
10,ADITIVO,,,,,,,,,,,,,,,,,,,,,,,,,
116,CILINDRO RODA,,,,,,,,,,,,,,,,,,,,,,,,,
201,CILINDRO RODA TRASEIRO,,,,,,,,,,,,,,,,,,,,,,,,,
619,ANEL SINCRONIZADO 1 E MAR,,,,,,,,,,,,,,,,,,,,,,,,,
333,PNEU 185/70/14 IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,
12,LUB 15W40,,,,,,,,,,,,,,,,,,,,,,,,,
350,PNEU 195/55/15 IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,
